# Tile Number, Zone, Easting, Northing, Height, Long, Lat
T11,50,467101.596,7046644.693,377.018,116.66928508,-26.70094317
T12,50,467155.977,7046649.205,377.291,116.66983186,-26.70090368
T13,50,467162.838,7046645.058,377.315,116.66990073,-26.70094128
T14,50,467172.666,7046637.497,377.297,116.66999933,-26.70100978
T15,50,467164.454,7046627.502,377.344,116.66991651,-26.70109983
T16,50,467149.088,7046623.100,377.264,116.66976193,-26.70113922
T17,50,467158.067,7046621.316,377.275,116.66985215,-26.70115554
T18,50,467103.168,7046599.177,377.220,116.66929970,-26.70135417
T21,50,467118.390,7046661.525,377.010,116.66945434,-26.70079159
T22,50,467111.484,7046654.398,377.026,116.66938473,-26.70085578
T23,50,467127.652,7046663.791,377.058,116.66954750,-26.70077134
T24,50,467158.423,7046660.376,377.261,116.66985674,-26.70080288
T25,50,467173.466,7046661.895,377.260,116.67000800,-26.70078951
T26,50,467167.841,7046656.607,377.307,116.66995132,-26.70083713
T27,50,467174.339,7046651.700,377.304,116.67001651,-26.70088158
T28,50,467075.326,7046668.702,376.632,116.66902162,-26.70072580
T31,50,467227.863,7046580.783,376.808,116.67055272,-26.70152311
T32,50,467227.627,7046601.579,376.876,116.67055089,-26.70133534
T33,50,467210.916,7046614.347,376.965,116.67038323,-26.70121967
T34,50,467196.879,7046616.657,377.128,116.67024219,-26.70119849
T35,50,467186.526,7046629.919,377.244,116.67013846,-26.70107852
T36,50,467181.282,7046638.490,377.272,116.67008596,-26.70100101
T37,50,467191.284,7046642.788,377.186,116.67018662,-26.70096243
T38,50,467200.658,7046643.681,377.106,116.67028088,-26.70095459
T41,50,467183.336,7046650.190,377.242,116.67010692,-26.70089542
T42,50,467191.262,7046651.012,377.210,116.67018661,-26.70088818
T43,50,467180.423,7046657.894,377.259,116.67007783,-26.70082579
T44,50,467205.769,7046652.389,377.072,116.67033248,-26.70087608
T45,50,467198.149,7046655.391,377.096,116.67025596,-26.70084880
T46,50,467228.663,7046642.902,376.954,116.67056238,-26.70096226
T47,50,467196.188,7046663.399,377.188,116.67023645,-26.70077645
T48,50,467236.392,7046653.093,376.916,116.67064034,-26.70087043
T51,50,467196.137,7046503.995,376.804,116.67023180,-26.70221568
T52,50,467429.480,7046336.504,375.008,116.67257313,-26.70373329
T53,50,467230.093,7046456.311,376.352,116.67057190,-26.70264700
T54,50,467343.961,7046299.114,375.761,116.67171248,-26.70406892
T55,50,467406.284,7046120.001,376.483,116.67233433,-26.70568753
T56,50,467184.501,7046356.877,376.175,116.67011101,-26.70354372
